idx,kind,water,dist,step,seg,acc_pred,amp,amp0,accel,sh_amp,sh_cyc,zz_amp,zz_cyc,tilt_deg,tilt_cyc,sh_axis,nudge
1,curve,0.055,0.3986,7,43,3.81,0.0655,0.0613,,,,,,,,,
2,stop,0.055,0.3571,5,60,1.58,,,2,,,,,,,,
3,shake,0.055,0.254,8,38,2.97,,,,0.0155,2.48,,,,,x,
4,zigzag,0.055,0.3789,8,38,3.28,,,,,,0.0117,3.11,,,,
5,tilt,0.055,0.3931,5,60,2.17,,,,,,,,6.37,2.0,,
6,static,0.065,0.2935,8,38,0.92,,,,,,,,,,,0.0043
7,curve,0.065,0.3183,6,50,3.11,0.0536,0.0446,,,,,,,,,
8,stop,0.065,0.3863,8,38,1.71,,,2,,,,,,,,
9,shake,0.065,0.3979,5,60,4.83,,,,0.018,2.94,,,,,x,
10,zigzag,0.065,0.3244,6,50,3.85,,,,,,0.0149,3.04,,,,
11,tilt,0.065,0.3419,8,38,1.44,,,,,,,,13.89,1.0,,
12,static,0.075,0.3129,5,80,0.98,,,,,,,,,,,0.009
13,curve,0.075,0.2512,6,67,4.51,0.0807,0.0693,,,,,,,,,
14,stop,0.075,0.3159,5,80,2.39,,,3,,,,,,,,
15,shake,0.075,0.3241,6,67,3.85,,,,0.0171,2.69,,,,,y,
16,zigzag,0.075,0.3866,7,57,2.88,,,,,,0.0088,3.32,,,,
17,tilt,0.075,0.3365,7,57,3.32,,,,,,,,11.23,2.0,,
18,static,0.085,0.2488,6,67,0.78,,,,,,,,,,,0.0134
19,curve,0.085,0.2719,6,67,4.78,0.0855,0.0378,,,,,,,,,
20,stop,0.085,0.2716,5,80,1.2,,,2,,,,,,,,
21,shake,0.085,0.3592,8,50,4.45,,,,0.0173,2.88,,,,,y,
22,zigzag,0.085,0.258,6,67,3.22,,,,,,0.011,3.24,,,,
23,tilt,0.085,0.3721,7,57,1.47,,,,,,,,12.91,1.0,,
24,static,0.055,0.2879,7,57,0.9,,,,,,,,,,,0.0112
25,curve,0.055,0.2466,5,80,3.57,0.0633,0.0386,,,,,,,,,
26,stop,0.055,0.2956,6,67,2.23,,,3,,,,,,,,
27,shake,0.055,0.2588,7,57,2.99,,,,0.0075,3.58,,,,,x,
28,zigzag,0.055,0.2997,5,80,3.84,,,,,,0.0207,2.58,,,,
29,tilt,0.055,0.3904,8,50,1.41,,,,,,,,10.07,1.0,,
30,static,0.065,0.3303,8,50,1.03,,,,,,,,,,,0.0028
31,curve,0.065,0.2816,6,67,2.73,0.0469,0.0289,,,,,,,,,
32,stop,0.065,0.3633,7,57,2.74,,,3,,,,,,,,
33,shake,0.065,0.3567,5,80,2.97,,,,0.0102,3.0,,,,,y,
34,zigzag,0.065,0.382,5,80,2.96,,,,,,0.0089,3.36,,,,
35,tilt,0.065,0.3668,6,67,1.24,,,,,,,,6.91,1.0,,
36,static,0.075,0.3662,6,67,1.14,,,,,,,,,,,0.0167
37,curve,0.075,0.3561,8,50,3.93,0.0686,0.0555,,,,,,,,,
38,stop,0.075,0.2402,8,50,1.06,,,2,,,,,,,,
