idx,kind,water,dist,step,seg,amp,amp0,accel,sh_amp,sh_cyc,zz_amp,zz_cyc,tilt_deg,tilt_cyc,vz_amp,vz_cyc
1,stop,0.065,0.2845,8,25,,,2,,,,,,,,
2,shake,0.075,0.3637,5,40,,,,0.0308,2.77,,,,,,
3,zigzag,0.055,0.2446,8,25,,,,,,0.0628,1.14,,,,
4,tilt,0.085,0.296,8,25,,,,,,,,8.29,2.0,,
5,curve,0.055,0.2944,5,40,0.1166,0.053,,,,,,,,,
6,stop,0.075,0.2569,8,25,,,2,,,,,,,,
7,shake,0.085,0.3098,6,33,,,,0.0295,2.52,,,,,,
8,zigzag,0.085,0.3324,6,33,,,,,,0.1176,1.86,,,,
9,tilt,0.055,0.3826,8,25,,,,,,,,8.23,1.0,,
10,curve,0.055,0.2605,6,33,0.0685,0.0362,,,,,,,,,
11,stop,0.085,0.3618,7,29,,,2,,,,,,,,
12,shake,0.085,0.2909,5,40,,,,0.0319,2.63,,,,,,
13,zigzag,0.055,0.2835,6,33,,,,,,0.105,2.64,,,,
14,tilt,0.085,0.325,5,40,,,,,,,,12.63,2.0,,
15,curve,0.065,0.3309,6,33,0.1029,0.0505,,,,,,,,,
16,stop,0.075,0.2928,7,29,,,3,,,,,,,,
17,shake,0.085,0.2945,5,40,,,,0.0213,1.64,,,,,,
18,zigzag,0.055,0.3972,8,25,,,,,,0.0484,2.36,,,,
19,tilt,0.065,0.3976,7,29,,,,,,,,9.64,0.0,,
20,curve,0.065,0.2679,8,25,0.0685,0.0785,,,,,,,,,
21,stop,0.065,0.3593,8,25,,,2,,,,,,,,
22,shake,0.055,0.3256,8,25,,,,0.0468,3.78,,,,,,
23,zigzag,0.075,0.2591,8,25,,,,,,0.1091,2.49,,,,
24,tilt,0.075,0.2856,7,29,,,,,,,,13.82,2.0,,
25,curve,0.055,0.2668,8,25,0.12,0.0358,,,,,,,,,
26,stop,0.075,0.333,6,33,,,3,,,,,,,,
27,shake,0.055,0.3536,7,29,,,,0.029,3.96,,,,,,
28,zigzag,0.075,0.2601,5,40,,,,,,0.0654,2.01,,,,
29,tilt,0.065,0.3118,8,25,,,,,,,,10.07,1.0,,
30,curve,0.065,0.3443,8,25,0.0943,0.0285,,,,,,,,,
31,stop,0.075,0.2886,6,33,,,2,,,,,,,,
32,shake,0.075,0.2505,8,25,,,,0.0388,3.85,,,,,,
33,zigzag,0.055,0.2523,7,29,,,,,,0.0799,1.46,,,,
34,tilt,0.055,0.2775,5,40,,,,,,,,10.89,1.0,,
35,curve,0.065,0.2999,8,25,0.0648,0.0508,,,,,,,,,
36,stop,0.065,0.3444,7,29,,,3,,,,,,,,
37,shake,0.085,0.3897,8,25,,,,0.0377,2.98,,,,,,
38,zigzag,0.055,0.3809,8,25,,,,,,0.1112,2.3,,,,
39,tilt,0.055,0.3893,5,40,,,,,,,,10.28,0.0,,
40,curve,0.065,0.267,5,40,0.111,0.0273,,,,,,,,,
41,stop,0.055,0.3923,7,29,,,2,,,,,,,,
42,shake,0.075,0.2877,6,33,,,,0.0489,2.13,,,,,,
43,zigzag,0.075,0.3786,7,29,,,,,,0.1079,1.2,,,,
44,tilt,0.085,0.3508,7,29,,,,,,,,10.3,2.0,,
45,curve,0.055,0.3277,5,40,0.1049,0.0329,,,,,,,,,
46,stop,0.055,0.3293,8,25,,,2,,,,,,,,
47,shake,0.085,0.3173,6,33,,,,0.0326,1.99,,,,,,
48,zigzag,0.055,0.3561,6,33,,,,,,0.0771,1.15,,,,
49,tilt,0.055,0.2542,5,40,,,,,,,,8.34,0.0,,
50,curve,0.055,0.2909,7,29,0.1438,0.0708,,,,,,,,,
51,stop,0.075,0.3831,5,40,,,3,,,,,,,,
52,shake,0.085,0.3762,5,40,,,,0.0292,1.73,,,,,,
53,zigzag,0.055,0.2615,8,25,,,,,,0.0865,2.19,,,,
54,tilt,0.055,0.2922,7,29,,,,,,,,10.28,1.0,,
55,curve,0.055,0.3669,5,40,0.1008,0.0785,,,,,,,,,
56,stop,0.065,0.2766,7,29,,,2,,,,,,,,
57,shake,0.075,0.2582,7,29,,,,0.0265,2.17,,,,,,
58,zigzag,0.085,0.3077,7,29,,,,,,0.0705,2.09,,,,
59,tilt,0.055,0.3797,7,29,,,,,,,,12.56,0.0,,
60,curve,0.065,0.3493,7,29,0.1582,0.0639,,,,,,,,,
61,stop,0.065,0.3852,8,25,,,2,,,,,,,,
62,shake,0.085,0.3355,5,40,,,,0.038,2.74,,,,,,
63,zigzag,0.085,0.3069,8,25,,,,,,0.1077,2.5,,,,
64,tilt,0.055,0.3171,7,29,,,,,,,,13.6,2.0,,
65,curve,0.085,0.3138,8,25,0.0669,0.0624,,,,,,,,,
66,stop,0.085,0.2801,5,40,,,2,,,,,,,,
67,shake,0.075,0.2606,6,33,,,,0.0366,3.7,,,,,,
68,zigzag,0.085,0.2481,5,40,,,,,,0.1061,1.86,,,,
69,tilt,0.085,0.3971,6,33,,,,,,,,8.39,0.0,,
70,curve,0.075,0.2452,6,33,0.1672,0.0652,,,,,,,,,
71,stop,0.065,0.3487,5,40,,,3,,,,,,,,
72,shake,0.055,0.2403,6,33,,,,0.0276,2.74,,,,,,
73,zigzag,0.065,0.2495,5,40,,,,,,0.0535,2.74,,,,
74,tilt,0.055,0.378,7,29,,,,,,,,7.25,1.0,,
75,curve,0.075,0.2948,5,40,0.1758,0.0604,,,,,,,,,
76,stop,0.055,0.3786,8,25,,,3,,,,,,,,
77,shake,0.075,0.2944,6,33,,,,0.0334,3.05,,,,,,
78,zigzag,0.075,0.3817,6,33,,,,,,0.1081,2.81,,,,
79,tilt,0.075,0.3987,7,29,,,,,,,,6.72,1.0,,
80,curve,0.065,0.2815,7,29,0.1663,0.0767,,,,,,,,,
81,stop,0.055,0.312,6,33,,,2,,,,,,,,
82,shake,0.075,0.2458,8,25,,,,0.0258,3.61,,,,,,
83,zigzag,0.085,0.33,5,40,,,,,,0.1196,1.97,,,,
84,tilt,0.085,0.3825,6,33,,,,,,,,12.01,2.0,,
85,curve,0.065,0.3089,8,25,0.1079,0.0579,,,,,,,,,
86,stop,0.075,0.3269,8,25,,,2,,,,,,,,
87,shake,0.075,0.2477,6,33,,,,0.0299,3.09,,,,,,
88,zigzag,0.075,0.3497,5,40,,,,,,0.0893,1.02,,,,
89,tilt,0.085,0.2433,7,29,,,,,,,,8.33,1.0,,
90,curve,0.075,0.3375,7,29,0.1567,0.0783,,,,,,,,,
91,stop,0.085,0.2832,6,33,,,3,,,,,,,,
92,shake,0.055,0.2719,7,29,,,,0.0459,2.12,,,,,,
93,zigzag,0.075,0.2534,7,29,,,,,,0.1118,1.21,,,,
94,tilt,0.075,0.289,5,40,,,,,,,,6.31,2.0,,
95,curve,0.065,0.3857,8,25,0.077,0.0637,,,,,,,,,
96,stop,0.065,0.3755,7,29,,,2,,,,,,,,
97,shake,0.055,0.2506,5,40,,,,0.0342,2.22,,,,,,
98,zigzag,0.055,0.2806,6,33,,,,,,0.1103,1.73,,,,
99,tilt,0.075,0.2424,5,40,,,,,,,,11.3,0.0,,
100,curve,0.055,0.3494,6,33,0.0655,0.0573,,,,,,,,,
101,stop,0.055,0.3395,6,33,,,2,,,,,,,,
102,shake,0.085,0.358,8,25,,,,0.04,2.93,,,,,,
103,zigzag,0.055,0.3573,5,40,,,,,,0.1101,2.44,,,,
104,tilt,0.055,0.3492,6,33,,,,,,,,12.96,0.0,,
105,curve,0.065,0.3448,7,29,0.0838,0.0342,,,,,,,,,
106,stop,0.075,0.3789,5,40,,,3,,,,,,,,
107,shake,0.055,0.369,6,33,,,,0.0436,3.37,,,,,,
108,zigzag,0.075,0.2604,8,25,,,,,,0.0677,2.92,,,,
109,tilt,0.065,0.2459,5,40,,,,,,,,12.62,2.0,,
110,curve,0.075,0.2564,5,40,0.1165,0.0531,,,,,,,,,
111,stop,0.075,0.2795,7,29,,,2,,,,,,,,
112,shake,0.055,0.3711,6,33,,,,0.0368,3.47,,,,,,
113,zigzag,0.075,0.3911,5,40,,,,,,0.0745,2.89,,,,
114,tilt,0.055,0.2474,6,33,,,,,,,,12.8,0.0,,
115,curve,0.065,0.3178,5,40,0.0593,0.0497,,,,,,,,,
116,stop,0.075,0.3502,5,40,,,2,,,,,,,,
117,shake,0.085,0.3228,7,29,,,,0.04,1.87,,,,,,
